Year,Date,Type,Country,Activity,Sex ,Fatal (Y/N),Species ,,id
2022,6/28/2022,Unprovoked,SOUTH AFRICA,Swimming,M,Y,Great White Shark,,2022.06.28
2022,6/22/2022,Unprovoked,USA,Swimming,M,N,Great White Shark,,2022.06.22
2022,2/26/2022,Unprovoked,USA,Boogie boarding,M,Y,Great White Shark,,2022.12.24
2022,2/5/2022,Unprovoked,AUSTRALIA,Floating in inflatable pool ring,F,N,Great White Shark,,2022.02.05
2021,9/5/2021,Unprovoked,AUSTRALIA,Surfing,M,Y,Great White Shark,,2021.09.05
2021,7/19/2021,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2021.07.19
2021,7/5/2021,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2021.07.05
2021,6/26/2021,Unprovoked,USA,Swimming,M,N,Great White Shark,,2021.06.26
2021,5/18/2021,Unprovoked,AUSTRALIA,Surfing,M,Y,Great White Shark,,2021.05.18
2021,4/13/2021,Unprovoked,SOUTH AFRICA,Body boarding,M,Y,Great White Shark,,2021.04.13
2021,2/2/2021,Watercraft,USA,Kayaking,M,N,Great White Shark,,2021.02.02.a
2021,1/22/2021,Watercraft,USA,Fishing,M,N,Great White Shark,,2021.01.22.b
2021,1/21/2021,Unprovoked,AUSTRALIA,Snorkeling,M,Y,Great White Shark,,2021.01.21
2020,12/30/2020,Unprovoked,USA,Swimming,M,N,Great White Shark,,2020.12.30
2020,12/6/2020,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2020.12.06.a
2020,9/16/2020,Unprovoked,AUSTRALIA,Foil-boarding,M,N,Great White Shark,,2020.09.16.b
2020,9/7/2020,Unprovoked,AUSTRALIA,Surfing,M,Y,Great White Shark,,2020.09.07
2020,8/30/2020,Watercraft,AUSTRALIA,Fishing / Filming sharks feeding on whale carcass,M,N,Great White Shark,,2020.08.30.b
2020,8/28/2020,Unprovoked,USA,Kayak fishing,M,N,Great White Shark,,2020.08.28
2020,8/14/2020,Unprovoked,AUSTRALIA,Surfing,F,N,Great White Shark,,2020.08.14
2020,7/31/2020,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2020.07.31.a
2020,7/29/2020,Watercraft,AUSTRALIA,Sightseeing,M,UNKNOWN,Great White Shark,,2020.07.29
2020,7/27/2020,Unprovoked,USA,Swimming,F,Y,Great White Shark,,2020.07.27.a
2020,7/17/2020,Unprovoked,AUSTRALIA,Fishing,M,N,Great White Shark,,2020.07.17
2020,7/11/2020,Unprovoked,AUSTRALIA,Surfing,M,Y,Great White Shark,,2020.07.11
2020,6/7/2020,Unprovoked,AUSTRALIA,Surfing,M,Y,Great White Shark,,2020.06.07
2020,5/9/2020,Unprovoked,USA,Surfing,M,Y,Great White Shark,,2020.05.09
2020,3/14/2020,Provoked,NEW ZEALAND,Kayak fishing,M,N,Great White Shark,,2020.03.14.R
2020,2/22/2020,Unprovoked,NEW ZEALAND,Surfing,M,N,Great White Shark,,2020.02.22
2020,1/5/2020,Unprovoked,AUSTRALIA,Scuba diving,M,Y,Great White Shark,,2020.01.05
2019,12/20/2019,Provoked,AUSTRALIA,Fishing,M,UNKNOWN,Great White Shark,,2019.12.20
2019,11/9/2019,Watercraft,SOUTH AFRICA,Kayaking fishing,M,N,Great White Shark,,2019.11.09
2018,10/25/2019,Unprovoked,USA,Kayak fishing,M,N,Great White Shark,,2019.10.25
2019,10/5/2019,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2019.10.05.b
2019,10/5/2019,Watercraft,USA,Kayaking,M,N,Great White Shark,,2019.10.05.a
2019,7/17/2019,Unprovoked,NEW ZEALAND,Scuba diving,M,N,Great White Shark,,2019.07.17.R
2019,7/10/2019,Unprovoked,SOUTH AFRICA,Surfing,M,N,Great White Shark,,2019.07.10
2019,5/7/2019,Unprovoked,USA,Surfing,F,N,Great White Shark,,2019.05.07
2018,11/11/2018,Unprovoked,SOUTH AFRICA,Fishing,M,N,Great White Shark,,2018.11.11.b
2018,10/23/2018,Unprovoked,USA,Diving / Filming,M,N,Great White Shark,,2018.10.23.a
2018,10/19/2018,Unprovoked,NEW ZEALAND,Surfing,M,N,Great White Shark,,201810.19.a
2018,10/13/2018,Questionable,AUSTRALIA,Spearfishing,M,N,Great White Shark,,2018.10.13
2018,9/29/2018,Unprovoked,USA,Diving,M,N,Great White Shark,,2018.09.29
2018,9/27/2018,Watercraft,USA,Fishing,M,N,Great White Shark,,2018.09.27
2018,9/15/2018,Unprovoked,USA,Boogie boarding,M,Y,Great White Shark,,2018.09.15
2018,8/15/2018,Unprovoked,USA,Swimming,M,N,Great White Shark,,2018.08.15.a
2018,6/25/2018,Watercraft,USA,Paddling,F,N,Great White Shark,,2018.06.25
2018,4/24/2018,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2018.04.24
2018,4/22/2018,Unprovoked,SOUTH AFRICA,Surf-skiing,M,N,Great White Shark,,2018.04.22
2018,4/3/2018,Unprovoked,SOUTH AFRICA,Surfing,M,N,Great White Shark,,2018.04.02
2018,1/13/2018,Unprovoked,AUSTRALIA,Free diving,M,N,Great White Shark,,2018.01.13
2017,11/24/2017,Unprovoked,USA,Spearfishing,M,N,Great White Shark,,2017.11.24
2017,10/22/2017,Unprovoked,AUSTRALIA,Kayaking / Fishing,F,N,Great White Shark,,2017.10.22
2017,9/25/2017,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2017.09.25.a
2017,9/10/2017,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2017.09.10.a
2017,8/29/2017,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2017.08.29
2017,8/23/2017,Unprovoked,USA,SUP,M,N,Great White Shark,,2017.08.23
2017,8/1/2017,Watercraft,USA,Fishing,M,N,Great White Shark,,2017.08.01
2017,7/20/2017,Unprovoked,USA,SUP,M,N,Great White Shark,,2017/07.20.a
2017,7/20/2017,Watercraft,USA,Kayaking,M,N,Great White Shark,,2017.07.20.b
2017,7/14/2017,Unprovoked,USA,Surfing,M,N,Great White Shark,,2017.07.14.b
2017,7/11/2017,Watercraft,USA,Kayaking,M,N,Great White Shark,,2017.07.11
2017,7/7/2017,Unprovoked,SOUTH AFRICA,Surfing,F,N,Great White Shark,,2017.07.07
2017,6/11/2017,Unprovoked,AUSTRALIA,Body boarding,M,N,Great White Shark,,2017.06.11
2017,4/17/2017,Unprovoked,AUSTRALIA,Surfing,F,Y,Great White Shark,,2017.04.17.a
2017,3/18/2017,Watercraft,USA,Kayaking,M,N,Great White Shark,,2017.03.18
2017,2/1/2017,Watercraft,USA,Fishing,M,N,Great White Shark,,2017.02.01.b
2016,12/19/2016,Unprovoked,SOUTH AFRICA,Surf skiing,M,N,Great White Shark,,2016.12.19
2016,12/1/2016,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2016.12.01
2016,10/13/2016,Invalid,MEXICO,Cage Diving,M,UNKNOWN,Great White Shark,,2016.10.13.R
2016,9/26/2016,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2016.09.26
2016,9/1/2016,Unprovoked,USA,Spearfishing,M,N,Great White Shark,,2016.09.01
2016,7/15/2016,Unprovoked,USA,Kite surfing,M,N,Great White Shark,,2016.07.15.b
2016,7/8/2016,Watercraft,USA,Fishing,M,N,Great White Shark,,2016.07.08
2016,7/7/2016,Watercraft,USA,Fishing,M,N,Great White Shark,,2016.07.07.a
2016,6/23/2016,Unprovoked,SOUTH AFRICA,Spearfishing,M,N,Great White Shark,,2016.06.23
2016,5/31/2016,Unprovoked,AUSTRALIA,Surfing,M,Y,Great White Shark,,2016.05.31
2016,4/22/2016,Unprovoked,SOUTH AFRICA,Surf-skiing,M,N,Great White Shark,,2016.04.22
2015,12/26/2015,Watercraft,SOUTH AFRICA,Fishing,M,N,Great White Shark,,2015.12.26
2015,12/13/2015,Watercraft,AUSTRALIA,Fishing,M,N,Great White Shark,,2015.12.13
2015,10/25/2015,Unprovoked,SOUTH AFRICA,Surfing,M,N,Great White Shark,,2015.10.25
2015,9/24/2015,Watercraft,USA,Kayak fishing,M,N,Great White Shark,,2015.09.24
2015,9/6/2015,Unprovoked,USA,Stand-Up Paddleboarding,F,N,Great White Shark,,2015.09.06
2015,9/4/2015,Unprovoked,AUSTRALIA,Surf-skiing,M,N,Great White Shark,,2015.09.04
2015,8/29/2015,Unprovoked,USA,Surfing,F,N,Great White Shark,,2015.08.29.b
2015,8/29/2015,Unprovoked,USA,Surfing,M,N,Great White Shark,,2015.08.29.a
2015,8/18/2015,Watercraft,USA,Kayak Fishing,M,N,Great White Shark,,2015.08.18.b
2015,7/31/2015,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2015.07.31
2015,7/25/2015,Unprovoked,AUSTRALIA,Scallop diving on hookah,M,Y,Great White Shark,,2015.07.25
2015,7/19/2015,Unprovoked,SOUTH AFRICA,Surfing,M,N,Great White Shark,,2015.07.19
2015,7/10/2015,Unprovoked,USA,Surfing,M,N,Great White Shark,,2015.07.10
2015,7/3/2015,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2015.07.03
2015,7/2/2015,Unprovoked,AUSTRALIA,Body boarding,M,N,Great White Shark,,2015.07.02
2015,6/27/2015,Unprovoked,SOUTH AFRICA,Body Boarding,M,N,Great White Shark,,2015.06.27.a
2015,6/26/2015,Unprovoked,SOUTH AFRICA,Surfing,M,N,Great White Shark,,2015.06.26.b
2015,6/24/2015,Invalid,AUSTRALIA,Surfing,F,N,Great White Shark,,2015.06.24.a
2015,6/24/2015,Unprovoked,AUSTRALIA,Surf skiing,M,N,Great White Shark,,2015.04.24.c
2015,5/3/2015,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2015.05.03
2015,5/2/2015,Unprovoked,SOUTH AFRICA,Diving,M,N,Great White Shark,,2015.05.02
2015,4/25/2015,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2015.04.25
2015,3/26/2015,Watercraft,SOUTH AFRICA,Kayak Fishing,M,N,Great White Shark,,2015.03.26
2015,2/15/2015,Watercraft,ATLANTIC OCEAN,Transatlantic Rowing,M,N,Great White Shark,,2015.02.15
2015,1/19/2015,Watercraft,USA,Fishing,M,N,Great White Shark,,2015.01.19.b
2014,12/29/2014,Unprovoked,AUSTRALIA,Spearfishing,M,Y,Great White Shark,,2014.12.29.a
2014,12/28/2014,Unprovoked,USA,Surfing,M,N,Great White Shark,,2014.12.28.b
2014,11/19/2014,Watercraft,AUSTRALIA,Fishing,M,N,Great White Shark,,2014.11.19
2014,10/3/2014,Watercraft,USA,Kayaking,M,N,Great White Shark,,2014.10.03.b
2014,10/3/2014,Watercraft,USA,Kayaking,M,N,Great White Shark,,2014.10.03.a
2014,9/3/2014,Watercraft,USA,Kayaking,F,N,Great White Shark,,2014.09.03
2014,8/1/2014,Unprovoked,SOUTH AFRICA,Surfing,M,N,Great White Shark,,2014.08.01
2014,7/5/2014,Provoked,USA,Swimming,M,N,Great White Shark,,2014.07.05.b
2014,5/14/2014,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2014.05.14
2014,4/12/2014,Watercraft,SOUTH AFRICA,Shark watching,M,N,Great White Shark,,2014.04.12.R
2014,1/1/2014,Watercraft,NEW ZEALAND,Filming a documentary,M,N,Great White Shark,,2014.00.00
2013,12/16/2013,Unprovoked,SOUTH AFRICA,Surfing,M,N,Great White Shark,,2013.12.16
2013,10/11/2013,Unprovoked,SOUTH AFRICA,Swimming / snorkeling,M,Y,Great White Shark,,2013.10.11
2013,10/8/2013,Unprovoked,AUSTRALIA,Diving for Abalone,M,N,Great White Shark,,2013.10.08
2013,10/6/2013,Unprovoked,USA,Surfing,M,N,Great White Shark,,2013.10.05
2013,8/17/2013,Unprovoked,USA,Surfing,F,N,Great White Shark,,2013.08.17
2013,6/25/2013,Watercraft,USA,Kayaking / Fishing,M,N,Great White Shark,,2013.06.25.c
2013,2/27/2013,Unprovoked,NEW ZEALAND,Swimming,M,Y,Great White Shark,,2013.02.27
2013,1/26/2013,Watercraft,AUSTRALIA,Fishing,M,N,Great White Shark,,2013.01.26
2012,10/23/2012,Unprovoked,USA,Surfing,M,Y,Great White Shark,,2012.10.23
2012,7/31/2012,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2012.07.31.a
2012,7/14/2012,Unprovoked,AUSTRALIA,Surfing,M,Y,Great White Shark,,2012.07.14
2012,6/3/2012,Unprovoked,AUSTRALIA,Surf skiing,M,N,Great White Shark,,2012.06.03
2012,5/12/2012,Watercraft,USA,Kayaking / Fishing,M,N,Great White Shark,,2012.05.12
2012,5/6/2012,Unprovoked,USA,Paddle boarding,F,N,Great White Shark,,2012.05.06
2012,4/19/2012,Unprovoked,SOUTH AFRICA,Body boarding,M,Y,Great White Shark,,2012.04.19.a
2012,4/11/2012,Watercraft,AUSTRALIA,Kayaking,M,N,Great White Shark,,2012.04.11
2012,3/31/2012,Unprovoked,AUSTRALIA,Scuba diving,M,Y,Great White Shark,,2012.03.31
2012,3/22/2012,Watercraft,AUSTRALIA,Crayfishing,M,N,Great White Shark,,2012.03.22
2012,2/20/2012,Watercraft,SOUTH AFRICA,Fishing,M,N,Great White Shark,,2012.02.20
2012,1/18/2012,Unprovoked,AUSTRALIA,Surfing,M,N,Great White Shark,,2012.01.18.a
2012,1/13/2012,Unprovoked,USA,Surfing,M,N,Great White Shark,,2012.01.13
